id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2017-394783,2017-10-05,000001,Vente,164000,3,,RTE DU FORT,0008,55140,55100,Champougny,55,,,55100000ZB0088,,,,,,,,,,,,,0,1,Maison,135,4,P,prés,,,4000,5.696576,48.547129
2017-394784,2017-10-12,000001,Vente,24000,8,,RUE POTIER,0007,55140,55503,Taillancourt,55,,,555030000A0684,,,,,,,,,,,,,0,1,Maison,72,1,S,sols,,,446,5.693214,48.531407
2017-394785,2017-10-30,000001,Vente,130000,,,SOUS RENAUD COTE,B066,55300,55268,Lacroix-sur-Meuse,55,,,55268000AA0104,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,250,5.51141,48.9792
2017-394785,2017-10-30,000001,Vente,130000,37,,A RENAUD COTE,A001,55300,55268,Lacroix-sur-Meuse,55,,,55268000AA0105,,,,,,,,,,,,,0,1,Maison,99,3,S,sols,,,561,5.511499,48.979287
2017-394786,2017-10-30,000001,Vente,30000,,,LES MONTANTS EST,B210,55300,55012,Apremont-la-Forêt,55,,,55012451AA0009,,,,,,,,,,,,,0,,,,,P,prés,,,6623,5.620392,48.840643
2017-394787,2017-10-31,000001,Vente,66000,9002,,GR GRANDE RUE,0004,55300,55329,Mécrin,55,,,55329000AA0010,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,70,5.532791,48.826057
2017-394787,2017-10-31,000001,Vente,66000,9002,,GR GRANDE RUE,0004,55300,55329,Mécrin,55,,,55329000AA0010,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,POTAG,Jardin potager,114,5.532791,48.826057
2017-394787,2017-10-31,000001,Vente,66000,,,LE VILLAGE,B174,55300,55329,Mécrin,55,,,55329000AA0011,,,,,,,,,,,,,0,,,,,S,sols,,,130,5.533027,48.825975
2017-394787,2017-10-31,000001,Vente,66000,15,,GR GRANDE RUE,0004,55300,55329,Mécrin,55,,,55329000AA0012,,,,,,,,,,,,,0,1,Maison,118,4,S,sols,,,116,5.533052,48.825904
2017-394788,2017-10-30,000001,Vente,184500,39,,GR GRANDE RUE,0002,55500,55220,Grimaucourt-près-Sampigny,55,,,55220000AA0074,,,,,,,,,,,,,0,1,Maison,204,6,S,sols,,,954,5.467325,48.791463
2017-394788,2017-10-30,000001,Vente,184500,39,,GR GRANDE RUE,0002,55500,55220,Grimaucourt-près-Sampigny,55,,,55220000AA0074,,,,,,,,,,,,,0,1,Maison,204,6,P,prés,,,503,5.467325,48.791463
2017-394788,2017-10-30,000001,Vente,184500,39,,GR GRANDE RUE,0002,55500,55220,Grimaucourt-près-Sampigny,55,,,55220000AA0074,,,,,,,,,,,,,0,3,Dépendance,,0,P,prés,,,503,5.467325,48.791463
2017-394788,2017-10-30,000001,Vente,184500,39,,GR GRANDE RUE,0002,55500,55220,Grimaucourt-près-Sampigny,55,,,55220000AA0074,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,954,5.467325,48.791463
2017-394789,2017-10-31,000001,Vente,156000,22,,RUE JADOT,0060,55200,55184,Euville,55,,,55184558AD0033,,,,,,,,,,,,,0,1,Maison,134,3,S,sols,,,510,5.640617,48.73177
2017-394790,2017-10-26,000001,Vente,112000,8,,RUE MAURICE SCHMIT,0022,55200,55288,Lérouville,55,,,55288000AC0205,,,,,,,,,,,,,0,1,Maison,100,5,S,sols,,,481,5.552485,48.788861
2017-394791,2017-11-08,000001,Echange,10130,,,CHAMP MORE,B053,55300,55274,Lamorville,55,,,55274283ZH0013,,,,,,,,,,,,,0,,,,,T,terres,,,11540,5.599319,48.958148
2017-394791,2017-11-08,000001,Echange,10130,,,CHAMP MORE,B053,55300,55274,Lamorville,55,,,55274283ZH0013,,,,,,,,,,,,,0,,,,,T,terres,,,6878,5.599319,48.958148
2017-394792,2017-10-19,000001,Vente,4100,,,SOUS LA VOIE DES LOUPS,B278,55300,55274,Lamorville,55,,,55274283ZH0022,,,,,,,,,,,,,0,,,,,T,terres,,,6774,5.605246,48.957273
2017-394793,2017-10-19,000001,Vente,9200,,,LES LOCHERES,B189,55300,55274,Lamorville,55,,,55274283ZE0022,,,,,,,,,,,,,0,,,,,P,prés,,,1785,5.591156,48.954408
2017-394793,2017-10-19,000001,Vente,9200,,,SOUS LA VOIE DES LOUPS,B278,55300,55274,Lamorville,55,,,55274283ZH0023,,,,,,,,,,,,,0,,,,,T,terres,,,13572,5.604569,48.957266
2017-394794,2017-11-02,000001,Vente,83000,15,,CR NO 7 DIT DE LAVEAU,0042,55300,55467,Sampigny,55,,,55467000ZB0129,,,,,,,,,,,,,0,1,Maison,116,4,T,terres,,,1326,5.506346,48.824596
2017-394794,2017-11-02,000001,Vente,83000,15,,CR NO 7 DIT DE LAVEAU,0042,55300,55467,Sampigny,55,,,55467000ZB0129,,,,,,,,,,,,,0,1,Maison,116,4,S,sols,,,500,5.506346,48.824596
2017-394795,2017-10-16,000001,Vente,188000,11,,RUE DE L EGLISE,0005,55300,55528,Varnéville,55,,,55528000ZB0060,,,,,,,,,,,,,0,1,Maison,196,5,T,terres,,,1770,5.656285,48.872741
2017-394795,2017-10-16,000001,Vente,188000,11,,RUE DE L EGLISE,0005,55300,55528,Varnéville,55,,,55528000ZB0060,,,,,,,,,,,,,0,1,Maison,196,5,P,prés,,,2560,5.656285,48.872741
2017-394795,2017-10-16,000001,Vente,188000,11,,RUE DE L EGLISE,0005,55300,55528,Varnéville,55,,,55528000ZB0060,,,,,,,,,,,,,0,1,Maison,196,5,S,sols,,,560,5.656285,48.872741
2017-394796,2017-10-17,000001,Vente,13000,4,,RUE BASSE,0001,55500,55220,Grimaucourt-près-Sampigny,55,,,55220000AA0057,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,239,5.468164,48.79263
2017-394797,2017-10-18,000001,Vente,640,,,RUE DU PARGE,0018,55190,55398,Pagny-sur-Meuse,55,,,55398000AB0464,,,,,,,,,,,,,0,,,,,S,sols,,,19,5.715192,48.687827
2017-394798,2017-10-12,000001,Vente,2500,,,LES FRICHES,B041,55190,55396,Ourches-sur-Meuse,55,,,553960000C0890,,,,,,,,,,,,,0,,,,,S,sols,,,350,5.684032,48.658405
2017-394799,2017-10-23,000001,Vente,40000,29,B,RUE DE LA REINE,0039,55200,55258,Geville,55,,,55258126AA0064,,,,,,,,,,,,,0,1,Maison,72,3,S,sols,,,413,5.704063,48.764537
2017-394799,2017-10-23,000001,Vente,40000,,,VILLAGE DE CORNIEVILLE,B262,55200,55258,Geville,55,,,55258126AA0065,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,821,5.704128,48.764113
2017-394799,2017-10-23,000001,Vente,40000,,,VILLAGE DE CORNIEVILLE,B262,55200,55258,Geville,55,,,55258126AA0066,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,630,5.704293,48.764063
2017-394799,2017-10-23,000001,Vente,40000,29,,RUE DE LA REINE,0039,55200,55258,Geville,55,,,55258126AA0067,,,,,,,,,,,,,0,1,Maison,90,3,S,sols,,,595,5.704254,48.764449
2017-394800,2017-10-24,000001,Vente,150,,,LE BOURG,B040,55190,55573,Void-Vacon,55,,,55573000BH0502,,,,,,,,,,,,,0,,,,,S,sols,,,19,,
2017-394801,2017-10-26,000001,Vente,35000,31,,RUE ST ELOY,0023,55190,55496,Sorcy-Saint-Martin,55,,,55496000AA0064,,,,,,,,,,,,,0,1,Maison,66,3,S,sols,,,87,5.63582,48.718982
2017-394801,2017-10-26,000001,Vente,35000,1,,RUE DE L EGLISE,0008,55190,55496,Sorcy-Saint-Martin,55,,,55496000AA0114,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,110,5.63448,48.718713
2017-394802,2017-10-26,000002,Vente,11000,,,AU MONTANT DE LA PALLE,B148,55200,55258,Geville,55,,,55258000ZO0038,,,,,,,,,,,,,0,,,,,P,prés,,,5120,5.691075,48.76745
2017-394802,2017-10-26,000002,Vente,11000,,,AU MONTANT DE LA PALLE,B148,55200,55258,Geville,55,,,55258000ZO0038,,,,,,,,,,,,,0,,,,,B,bois,,,3115,5.691075,48.76745
2017-394802,2017-10-26,000002,Vente,11000,,,AU MONTANT DE LA PALLE,B148,55200,55258,Geville,55,,,55258000ZO0038,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,3115,5.691075,48.76745
2017-394803,2017-10-24,000003,Echange,1200,,,LE VILLAGE,B187,55260,55129,Courouvre,55,,,55129000AA0110,,,,,,,,,,,,,0,,,,,T,terres,,,529,5.358651,48.93703
2017-394803,2017-10-24,000003,Echange,1200,,,AU SIGNON,B160,55260,55129,Courouvre,55,,,55129000ZC0048,,,,,,,,,,,,,0,,,,,T,terres,,,1799,5.360058,48.937844
2017-394803,2017-10-24,000004,Echange,1200,,,LE VILLAGE,B187,55260,55129,Courouvre,55,,,55129000AA0106,,,,,,,,,,,,,0,,,,,S,sols,,,243,5.35721,48.937519
2017-394803,2017-10-24,000004,Echange,1200,,,LE VILLAGE,B187,55260,55129,Courouvre,55,,,55129000AA0107,,,,,,,,,,,,,0,,,,,S,sols,,,340,5.357111,48.937442
2017-394803,2017-10-24,000004,Echange,1200,,,LE VILLAGE,B187,55260,55129,Courouvre,55,,,55129000AA0112,,,,,,,,,,,,,0,,,,,T,terres,,,1745,5.359062,48.937518
2017-394804,2017-10-13,000001,Vente,15000,1,,RUE DU PARADIS,0056,55140,55533,Vaucouleurs,55,,,55533000AC0054,,,,,,,,,,,,,0,1,Maison,42,1,S,sols,,,35,5.665783,48.6007
2017-394805,2017-10-20,000001,Vente,150000,36,,GR LA GRANDE RUE,0006,55190,55520,Troussey,55,,,55520000AA0027,,,,,,,,,,,,,0,2,Appartement,86,3,S,sols,,,574,5.698439,48.704173
2017-394805,2017-10-20,000001,Vente,150000,36,,GR LA GRANDE RUE,0006,55190,55520,Troussey,55,,,55520000AA0027,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,574,5.698439,48.704173
2017-394805,2017-10-20,000001,Vente,150000,36,,GR LA GRANDE RUE,0006,55190,55520,Troussey,55,,,55520000AA0027,,,,,,,,,,,,,0,2,Appartement,153,6,S,sols,,,574,5.698439,48.704173
2017-394805,2017-10-20,000001,Vente,150000,36,,GR LA GRANDE RUE,0006,55190,55520,Troussey,55,,,55520000AA0027,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,574,5.698439,48.704173
2017-394806,2017-10-25,000001,Vente,6390,,,LES VAUZELS,B147,55260,55197,Fresnes-au-Mont,55,,,55197000ZD0024,,,,,,,,,,,,,0,,,,,T,terres,,,1095,5.474032,48.904222
2017-394806,2017-10-25,000001,Vente,6390,,,LES VAUZELS,B147,55260,55197,Fresnes-au-Mont,55,,,55197000ZD0025,,,,,,,,,,,,,0,,,,,T,terres,,,7160,5.474151,48.904039
2017-394806,2017-10-25,000001,Vente,6390,,,DESSOUS LA REMUAIRE,B026,55300,55401,Les Paroches,55,,,554010000C0597,,,,,,,,,,,,,0,,,,,T,terres,,,4550,5.492862,48.907059
2017-394806,2017-10-25,000001,Vente,6390,,,DESSOUS LA REMUAIRE,B026,55300,55401,Les Paroches,55,,,554010000C0598,,,,,,,,,,,,,0,,,,,T,terres,,,4990,5.493158,48.906952
2017-394806,2017-10-25,000001,Vente,6390,,,A LA TOURNIEULE,B066,55300,55401,Les Paroches,55,,,554010000C0883,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,584,5.499454,48.91458
2017-394806,2017-10-25,000001,Vente,6390,,,A LA TOURNIEULE,B066,55300,55401,Les Paroches,55,,,554010000C0883,,,,,,,,,,,,,0,,,,,B,bois,,,496,5.499454,48.91458
2017-394807,2017-10-20,000001,Vente,216000,24,,RTE DE ST AUBIN A ST AGNANT,0015,55300,55012,Apremont-la-Forêt,55,,,55012451ZB0048,,,,,,,,,,,,,0,1,Maison,153,5,S,sols,,,549,5.624728,48.844352
2017-394807,2017-10-20,000001,Vente,216000,,,CHAMP CHINE,B028,55300,55012,Apremont-la-Forêt,55,,,55012451ZB0049,,,,,,,,,,,,,0,,,,,T,terres,,,886,5.624647,48.844407
2017-394808,2017-10-23,000001,Vente,15000,5,,RUE DU FOUR,0300,55300,55463,Saint-Mihiel,55,,,55463000AB0315,,,,,,,,,,,,,0,1,Maison,46,3,S,sols,,,58,5.542105,48.890749
2017-394809,2017-11-03,000001,Vente,200,,,DERRIERE LE MOULIN,B027,55200,55288,Lérouville,55,,,55288000AA0103,,,,,,,,,,,,,0,,,,,BP,peupleraies,,,315,5.552785,48.790196
2017-394809,2017-11-03,000001,Vente,200,,,DERRIERE LE MOULIN,B027,55200,55288,Lérouville,55,,,55288000AA0103,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,315,5.552785,48.790196
2017-394809,2017-11-03,000001,Vente,200,,,DERRIERE LE MOULIN,B027,55200,55288,Lérouville,55,,,55288000AA0103,,,,,,,,,,,,,0,,,,,B,bois,,,301,5.552785,48.790196
2017-394809,2017-11-03,000001,Vente,200,,,DERRIERE LE MOULIN,B027,55200,55288,Lérouville,55,,,55288000AA0103,,,,,,,,,,,,,0,,,,,B,bois,,,301,5.552785,48.790196
2017-394810,2017-11-03,000001,Vente,23011,,,LA GROSSE TOMBEE,B085,55140,55328,Maxey-sur-Vaise,55,,,553280000C0647,,,,,,,,,,,,,0,,,,,VE,vergers,,,605,5.667573,48.533801
2017-394810,2017-11-03,000001,Vente,23011,30,,GR GRANDE RUE,0001,55130,55574,Vouthon-Bas,55,,,555740000B0057,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,165,5.606983,48.483503
2017-394810,2017-11-03,000001,Vente,23011,32,,GR GRANDE RUE,0001,55130,55574,Vouthon-Bas,55,,,555740000B0058,,,,,,,,,,,,,0,1,Maison,80,4,S,sols,,,571,5.606831,48.483647
2017-394810,2017-11-03,000001,Vente,23011,,,LE VILLAGE,B040,55130,55574,Vouthon-Bas,55,,,555740000B0793,,,,,,,,,,,,,0,,,,,S,sols,,,3258,5.604328,48.482729
2017-394810,2017-11-03,000001,Vente,23011,,,LE CHARME,B008,55130,55574,Vouthon-Bas,55,,,55574000ZB0002,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,838,5.615504,48.496389
2017-394810,2017-11-03,000001,Vente,23011,,,LE CHARME,B008,55130,55574,Vouthon-Bas,55,,,55574000ZB0002,,,,,,,,,,,,,0,,,,,B,bois,,,2512,5.615504,48.496389
2017-394810,2017-11-03,000001,Vente,23011,,,HAIE MAGNIER,B029,55130,55575,Vouthon-Haut,55,,,55575000ZE0002,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,1569,5.59616,48.473802
2017-394810,2017-11-03,000001,Vente,23011,,,HAIE MAGNIER,B029,55130,55575,Vouthon-Haut,55,,,55575000ZE0002,,,,,,,,,,,,,0,,,,,B,bois,,,3661,5.59616,48.473802
2017-394810,2017-11-03,000001,Vente,23011,,,HAIE MAGNIER,B029,55130,55575,Vouthon-Haut,55,,,55575000ZE0002,,,,,,,,,,,,,0,,,,,L,landes,FRICH,Friche,26160,5.59616,48.473802
2017-394810,2017-11-03,000001,Vente,23011,,,HAIE MAGNIER,B029,55130,55575,Vouthon-Haut,55,,,55575000ZE0002,,,,,,,,,,,,,0,,,,,T,terres,,,3380,5.59616,48.473802
2017-394810,2017-11-03,000001,Vente,23011,,,HAIE MAGNIER,B029,55130,55575,Vouthon-Haut,55,,,55575000ZE0003,,,,,,,,,,,,,0,,,,,T,terres,,,3160,5.597881,48.4737
2017-394810,2017-11-03,000001,Vente,23011,,,HAIE MAGNIER,B029,55130,55575,Vouthon-Haut,55,,,55575000ZE0004,,,,,,,,,,,,,0,,,,,T,terres,,,3380,5.598055,48.473419
2017-394811,2017-10-02,000002,Vente,17000,9002,,CR DE LA HAIE DE COMMERCY,0017,55200,55288,Lérouville,55,,,55288000AC0405,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,524,0,S,sols,,,674,5.548577,48.790883
2017-394811,2017-10-02,000002,Vente,17000,9002,,CR DE LA HAIE DE COMMERCY,0017,55200,55288,Lérouville,55,,,55288000AC0405,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,524,0,J,jardins,POTAG,Jardin potager,1007,5.548577,48.790883
2017-394812,2017-10-24,000002,Vente,150,,,LE BOURG,B040,55190,55573,Void-Vacon,55,,,55573000BH0528,,,,,,,,,,,,,0,,,,,S,sols,,,59,,
2017-394812,2017-10-24,000002,Vente,150,,,LE BOURG,B040,55190,55573,Void-Vacon,55,,,55573000BH0529,,,,,,,,,,,,,0,,,,,S,sols,,,461,,
2017-394813,2017-11-09,000001,Vente,148000,12,,RUE DE MUNOT,0039,55200,55288,Lérouville,55,,,55288000ZD0072,,,,,,,,,,,,,0,1,Maison,112,4,S,sols,,,910,5.530963,48.787746
2017-394814,2017-11-07,000001,Vente,45000,16,,RUE MOLLEVAUT,0037,55200,55258,Geville,55,,,55258000AA0149,,,,,,,,,,,,,0,1,Maison,112,5,S,sols,,,700,5.692283,48.772312
2017-394815,2017-11-08,000001,Vente,19532.57,6,,AV CARCANO,0140,55200,55122,Commercy,55,,,55122000AB0461,,,6,15.88,,,,,,,,,1,2,Appartement,18,1,,,,,,5.590106,48.763179
2017-394816,2017-10-26,000001,Vente,29000,,,LE VILLAGE,B111,55500,55220,Grimaucourt-près-Sampigny,55,,,55220000AA0028,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,184,5.46772,48.792699
2017-394816,2017-10-26,000001,Vente,29000,2,,RUE BASSE,0001,55500,55220,Grimaucourt-près-Sampigny,55,,,55220000AA0058,,,,,,,,,,,,,0,1,Maison,50,1,S,sols,,,167,5.467906,48.792512
2017-394817,2017-11-06,000001,Vente,8879,,,ENTRE LES DEUX VILLES,B031,55300,55401,Les Paroches,55,,,55401000AA0165,,,,,,,,,,,,,0,,,,,T,terres,,,683,5.513116,48.909222
2017-394818,2017-11-04,000001,Vente,30000,,,LE VILLAGE,B087,55300,55487,Seuzey,55,,,554870000Z0042,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,1106,5.557916,48.986238
2017-394818,2017-11-04,000001,Vente,30000,22,,RUE GRAND RUE,0007,55300,55487,Seuzey,55,,,554870000Z0044,,,,,,,,,,,,,0,1,Maison,70,3,S,sols,,,600,5.558057,48.986603
2017-394819,2017-11-06,000001,Vente,75000,7,,CHE DES CHEMINOTS,0005,55200,55553,Vignot,55,,,55553000AA0048,,,,,,,,,,,,,0,1,Maison,87,5,S,sols,,,558,5.606167,48.777363
2017-394819,2017-11-06,000001,Vente,75000,,,LA MOCOTTE,B045,55200,55553,Vignot,55,,,55553000AA0049,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,517,5.605954,48.777427
2017-394820,2017-11-06,000001,Vente,3000,,,AU CHAMP MARIE,B012,55300,55401,Les Paroches,55,,,554010000C0288,,,,,,,,,,,,,0,,,,,T,terres,,,8760,5.501839,48.907818
2017-394821,2017-10-28,000001,Vente,72000,21,,RUE GRANDE RUE,0013,55300,55093,Buxières-sous-les-Côtes,55,,,55093000AA0082,,,,,,,,,,,,,0,1,Maison,124,5,S,sols,,,741,5.674921,48.916894
2017-394822,2017-10-31,000001,Vente,70000,2,,RUE DE GODONECOURT,0352,55300,55463,Saint-Mihiel,55,,,55463000AI0366,,,,,,,,,,,,,0,1,Maison,58,3,S,sols,,,615,5.536433,48.897419
2017-394823,2017-10-31,000001,Vente,6000,9001,,LA CORVEE,B024,55190,55520,Troussey,55,,,55520000ZM0021,,,,,,,,,,,,,0,1,Maison,25,1,P,prés,,,1090,5.705353,48.698578
2017-394824,2017-10-18,000001,Vente,77000,,,LE VILLAGE,B289,55130,55215,Gondrecourt-le-Château,55,,,552153090A1093,,,,,,,,,,,,,0,,,,,S,sols,,,45,5.430068,48.466435
2017-394824,2017-10-18,000001,Vente,77000,12,,RUE DE L EGLISE A LUMEVILLE,0061,55130,55215,Gondrecourt-le-Château,55,,,552153090A1094,,,,,,,,,,,,,0,1,Maison,180,3,S,sols,,,955,5.42985,48.466287
2017-394825,2017-11-02,000001,Vente,33250,16,,GR GRANDE RUE,0008,55300,55401,Les Paroches,55,,,55401000AA0112,,,,,,,,,,,,,0,1,Maison,66,2,S,sols,,,117,5.513681,48.910816
2017-394826,2017-11-09,000001,Vente,600,,,LA CORVEE,B026,55140,55381,Neuville-lès-Vaucouleurs,55,,,55381000ZD0026,,,,,,,,,,,,,0,,,,,T,terres,,,460,5.669143,48.577614
2017-394827,2017-11-13,000001,Vente,5000,,,LA QUEUE DE L ETANG,B067,55200,55553,Vignot,55,,,55553000ZK0120,,,,,,,,,,,,,0,,,,,T,terres,,,10650,5.610174,48.779763
2017-394828,2017-10-23,000001,Vente,1100,,,BRISE EPAULE,B012,55210,55462,Saint-Maurice-sous-les-Côtes,55,,,55462000ZD0034,,,,,,,,,,,,,0,,,,,T,terres,,,620,5.691924,49.021536
