id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2017-298472,2017-07-03,000001,Vente,212825,514,,RTE DE BIDOUSE,0359,40160,40217,Parentis-en-Born,40,,,40217000AE1662,,,,,,,,,,,,,0,1,Maison,88,4,S,sols,,,1141,-1.061501,44.357241
2017-298473,2017-07-04,000001,Vente,140600,5190,,RTE DE ROQUEFORT,0019,40240,40267,Saint-Justin,40,,,402670000A0205,,,,,,,,,,,,,0,1,Maison,113,5,S,sols,,,324,-0.270626,44.017554
2017-298473,2017-07-04,000001,Vente,140600,,,CARRELOT,B017,40240,40267,Saint-Justin,40,,,402670000A0387,,,,,,,,,,,,,0,,,,,L,landes,AIRE,Aire ou airial,3379,-0.270748,44.017458
2017-298473,2017-07-04,000001,Vente,140600,,,CARRELOT,B017,40240,40267,Saint-Justin,40,,,402670000A0387,,,,,,,,,,,,,0,,,,,S,sols,,,300,-0.270748,44.017458
2017-298473,2017-07-04,000001,Vente,140600,,,CARRELOT,B017,40240,40267,Saint-Justin,40,,,402670000A0389,,,,,,,,,,,,,0,,,,,L,landes,,,1087,-0.270345,44.017377
2017-298474,2017-07-05,000001,Vente,53000,9001,,RES DE LA FORET,0775,40200,40184,Mimizan,40,,,40184000AD0373,,,88,17.08,,,,,,,,,1,2,Appartement,17,1,,,,,,-1.292321,44.202809
2017-298475,2017-07-04,000001,Vente,102000,5,,AV DU COURANT,0570,40200,40184,Mimizan,40,,,40184000AE0007,,,42,,,,,,,,,,1,3,Dépendance,,0,,,,,,-1.287362,44.207727
2017-298475,2017-07-04,000001,Vente,102000,5,,AV DU COURANT,0570,40200,40184,Mimizan,40,,,40184000AE0007,,,25,,,,,,,,,,1,2,Appartement,37,2,,,,,,-1.287362,44.207727
2017-298476,2017-07-03,000001,Vente,85000,,,LA CALLE,B030,40160,40217,Parentis-en-Born,40,,,40217000AX0983,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,PIN,Pins,5637,-1.057026,44.346107
2017-298477,2017-07-05,000001,Vente,129994.8,1,,RUE DES HOURNAILS,0893,40200,40184,Mimizan,40,,,401840000G0126,,,17,41.89,,,,,,,,,1,4,Local industriel. commercial ou assimilé,51,0,,,,,,-1.284631,44.212308
2017-298478,2017-07-06,000001,Vente,135000,3,,RUE DU FRONTON,0790,40200,40184,Mimizan,40,,,40184000AE0283,,,17,,,,,,,,,,1,3,Dépendance,,0,,,,,,-1.286371,44.20677
2017-298478,2017-07-06,000001,Vente,135000,3,,RUE DU FRONTON,0790,40200,40184,Mimizan,40,,,40184000AE0283,,,1,44.79,,,,,,,,,1,2,Appartement,47,3,,,,,,-1.286371,44.20677
2017-298479,2017-07-06,000001,Vente,128638,142,,AV LEOPOLD DARMUZEY,0980,40160,40217,Parentis-en-Born,40,,,40217000AB1003,,,22,54.99,26,,,,,,,,2,2,Appartement,55,3,,,,,,-1.069988,44.34916
2017-298480,2017-07-06,000001,Vente,182000,45,,LOT LE COURLIS,A001,40170,40182,Mézos,40,,,40182000AV0412,,,,,,,,,,,,,0,1,Maison,99,5,S,sols,,,718,-1.160101,44.078434
2017-298481,2017-07-06,000001,Vente,97996,142,,AV LEOPOLD DARMUZEY,0980,40160,40217,Parentis-en-Born,40,,,40217000AB1003,,,15,42.9,27,,,,,,,,2,2,Appartement,43,2,,,,,,-1.069988,44.34916
